"Story","Title","Result","Date","Stability","Duration (s)"
"Pets CRUD test","This will create new Pet","SUCCESS","2023-01-03T20:47:55.349Z[Europe/London]","0.0","5.29"
"Users CRUD test","This will create new user","SUCCESS","2023-01-03T20:47:55.355Z[Europe/London]","0.0","4.63"
"Users CRUD test","Verify user was added","SUCCESS","2023-01-03T20:48:00.021Z[Europe/London]","0.0","0.77"
"Pets CRUD test","This will verify if the pet was created","SUCCESS","2023-01-03T20:48:00.655Z[Europe/London]","0.0","0.54"
"Users CRUD test","Verify user was Updated","SUCCESS","2023-01-03T20:48:00.788Z[Europe/London]","0.0","1.08"
"Pets CRUD test","Update the pet details and verify","SUCCESS","2023-01-03T20:48:01.202Z[Europe/London]","0.0","1.17"
"Users CRUD test","Verify user was deleted","SUCCESS","2023-01-03T20:48:01.869Z[Europe/London]","0.0","0.49"
"Pets CRUD test","Delete the pet by Id","SUCCESS","2023-01-03T20:48:02.373Z[Europe/London]","0.0","1.06"
